onset	duration	trial_type	value
102.94	10.0	Rise your eyebrow	1.0
115.78	10.0	Nod sideways	1.0
126.44	10.0	Nod sideways	1.0
136.06	10.0	Rise your eyebrow	1.0
144.6	10.0	Nod sideways	1.0
155.64	10.0	Twist body right	1.0
167.54	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
177.66	10.0	Twist body left	1.0
186.12	10.0	Twist body left	1.0
195.44	10.0	Shake head rapidly	1.0
204.22	10.0	Twist body left	1.0
21.18	10.0	Shake head rapidly	1.0
213.62	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
223.82	10.0	Twist body left	1.0
234.46	10.0	Nod up and down	1.0
244.74	10.0	Rise your eyebrow	1.0
257.12	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
267.7	10.0	Shake head rapidly	1.0
280.42	10.0	Nod sideways	1.0
29.34	10.0	Nod sideways	1.0
291.62	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
304.4	10.0	Twist body right	1.0
313.6	10.0	Twist body left	1.0
324.98	10.0	Nod up and down	1.0
334.44	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
345.8	10.0	Rise your eyebrow	1.0
357.26	10.0	Rise your eyebrow	1.0
365.6	10.0	Twist body right	1.0
37.68	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
374.88	10.0	Twist body right	1.0
384.0	10.0	Rise your eyebrow	1.0
395.34	10.0	Twist body right	1.0
407.56	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
417.28	10.0	Nod up and down	1.0
429.18	10.0	Nod up and down	1.0
440.56	10.0	Nod sideways	1.0
448.6	10.0	Twist body left	1.0
459.6	10.0	Shake head rapidly	1.0
469.54	10.0	Twist body left	1.0
47.28	10.0	Rise your eyebrow	1.0
482.12	10.0	Shake head rapidly	1.0
490.12	10.0	Rise your eyebrow	1.0
500.44	10.0	Twist body left	1.0
510.56	10.0	Twist body right	1.0
520.86	10.0	Nod up and down	1.0
532.72	10.0	Nod up and down	1.0
542.34	10.0	Nod sideways	1.0
554.26	10.0	Rise your eyebrow	1.0
564.62	10.0	Nod up and down	1.0
57.94	10.0	Shake head rapidly	1.0
572.8	10.0	Rise your eyebrow	1.0
581.66	10.0	Nod up and down	1.0
593.28	10.0	Shake head rapidly	1.0
603.64	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
612.4	10.0	Shake head rapidly	1.0
622.12	10.0	Twist body left	1.0
633.16	10.0	Twist body right	1.0
642.12	10.0	Shake head rapidly	1.0
653.8	10.0	Nod sideways	1.0
663.02	10.0	Shake head rapidly	1.0
675.6	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
684.94	10.0	Nod up and down	1.0
69.2	10.0	Twist body right	1.0
696.78	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
705.72	10.0	Twist body right	1.0
715.16	10.0	Twist body left	1.0
723.62	10.0	Nod up and down	1.0
734.5	10.0	Nod sideways	1.0
79.24	10.0	Nod sideways	1.0
91.34	10.0	Twist body right	1.0
