onset	duration	trial_type	value
109.74	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
119.72	10.0	Twist body right	1.0
129.54	10.0	Twist body right	1.0
142.48	10.0	Shake head rapidly	1.0
150.68	10.0	Twist body right	1.0
163.1	10.0	Twist body left	1.0
175.66	10.0	Twist body right	1.0
187.66	10.0	Shake head rapidly	1.0
196.14	10.0	Shake head rapidly	1.0
205.46	10.0	Rise your eyebrow	1.0
215.14	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
226.52	10.0	Shake head rapidly	1.0
23.16	10.0	Rise your eyebrow	1.0
235.22	10.0	Twist body right	1.0
246.82	10.0	Nod up and down	1.0
255.36	10.0	Twist body left	1.0
266.62	10.0	Shake head rapidly	1.0
277.1	10.0	Nod sideways	1.0
288.98	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
300.56	10.0	Nod sideways	1.0
313.08	10.0	Shake head rapidly	1.0
325.54	10.0	Rise your eyebrow	1.0
33.46	10.0	Nod up and down	1.0
335.2	10.0	Twist body left	1.0
346.7	10.0	Twist body left	1.0
355.68	10.0	Nod up and down	1.0
363.84	10.0	Twist body left	1.0
375.56	10.0	Nod up and down	1.0
386.06	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
396.46	10.0	Twist body right	1.0
408.98	10.0	Nod up and down	1.0
420.04	10.0	Rise your eyebrow	1.0
431.12	10.0	Rise your eyebrow	1.0
443.42	10.0	Nod up and down	1.0
455.44	10.0	Nod up and down	1.0
46.28	10.0	Rise your eyebrow	1.0
466.34	10.0	Nod sideways	1.0
475.24	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
484.44	10.0	Nod sideways	1.0
496.88	10.0	Rise your eyebrow	1.0
505.02	10.0	Twist body right	1.0
515.48	10.0	Shake head rapidly	1.0
524.32	10.0	Shake head rapidly	1.0
537.2	10.0	Twist body right	1.0
548.76	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
559.26	10.0	Nod sideways	1.0
569.62	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
57.02	10.0	Twist body left	1.0
577.92	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
589.34	10.0	Shake head rapidly	1.0
597.54	10.0	Rise your eyebrow	1.0
605.9	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
616.52	10.0	Nod up and down	1.0
625.0	10.0	Nod up and down	1.0
637.08	10.0	Nod sideways	1.0
649.18	10.0	Rise your eyebrow	1.0
660.78	10.0	Nod sideways	1.0
669.54	10.0	Nod sideways	1.0
67.62	10.0	Shake head rapidly	1.0
680.84	10.0	Twist body right	1.0
691.42	10.0	Nod sideways	1.0
704.3	10.0	Twist body left	1.0
715.54	10.0	Twist body left	1.0
727.54	10.0	Rise your eyebrow	1.0
737.8	10.0	Nod up and down	1.0
747.96	10.0	Nod sideways	1.0
76.78	10.0	Twist body right	1.0
760.1	10.0	Twist body left	1.0
87.22	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
98.34	10.0	Twist body left	1.0
