onset	duration	trial_type	value
108.94	10.0	Twist body left	1.0
120.28	10.0	Twist body right	1.0
130.48	10.0	Rise your eyebrow	1.0
142.64	10.0	Nod sideways	1.0
154.5	10.0	Shake head rapidly	1.0
163.32	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
175.64	10.0	Twist body left	1.0
188.58	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
199.16	10.0	Rise your eyebrow	1.0
21.82	10.0	Rise your eyebrow	1.0
211.58	10.0	Nod up and down	1.0
222.52	10.0	Rise your eyebrow	1.0
231.3	10.0	Twist body left	1.0
240.3	10.0	Shake head rapidly	1.0
250.32	10.0	Nod sideways	1.0
262.08	10.0	Rise your eyebrow	1.0
274.2	10.0	Twist body left	1.0
286.16	10.0	Shake head rapidly	1.0
295.74	10.0	Nod sideways	1.0
306.42	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
31.8	10.0	Shake head rapidly	1.0
314.86	10.0	Rise your eyebrow	1.0
323.42	10.0	Rise your eyebrow	1.0
332.1	10.0	Rise your eyebrow	1.0
343.5	10.0	Shake head rapidly	1.0
353.98	10.0	Nod sideways	1.0
362.92	10.0	Nod up and down	1.0
373.4	10.0	Twist body left	1.0
382.14	10.0	Twist body left	1.0
390.4	10.0	Nod sideways	1.0
402.66	10.0	Twist body right	1.0
413.46	10.0	Twist body right	1.0
426.12	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
43.86	10.0	Nod sideways	1.0
437.6	10.0	Nod up and down	1.0
448.52	10.0	Nod up and down	1.0
460.58	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
472.98	10.0	Twist body left	1.0
485.92	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
493.92	10.0	Twist body right	1.0
506.26	10.0	Nod up and down	1.0
517.32	10.0	Nod up and down	1.0
530.26	10.0	Nod up and down	1.0
540.9	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
55.62	10.0	Twist body right	1.0
551.3	10.0	Twist body left	1.0
563.32	10.0	Shake head rapidly	1.0
572.46	10.0	Shake head rapidly	1.0
582.94	10.0	Twist body right	1.0
595.44	10.0	Shake head rapidly	1.0
606.32	10.0	Nod up and down	1.0
618.54	10.0	Shake head rapidly	1.0
630.24	10.0	Twist body left	1.0
641.16	10.0	Shake head rapidly	1.0
65.52	10.0	Nod sideways	1.0
650.4	10.0	Nod sideways	1.0
661.74	10.0	Twist body right	1.0
670.16	10.0	Rise your eyebrow	1.0
681.28	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
692.58	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
704.24	10.0	Twist body left	1.0
716.68	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
729.6	10.0	Rise your eyebrow	1.0
74.6	10.0	Nod sideways	1.0
741.44	10.0	Twist body right	1.0
752.36	10.0	Nod up and down	1.0
765.0	10.0	Twist body right	1.0
775.9	10.0	Nod sideways	1.0
86.54	10.0	Nod up and down	1.0
99.3	10.0	Twist body right	1.0
