onset	duration	trial_type	value
105.58	10.0	Shake head rapidly	1.0
114.86	10.0	Nod sideways	1.0
124.92	10.0	Twist body left	1.0
135.88	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
145.2	10.0	Twist body right	1.0
156.22	10.0	Nod up and down	1.0
167.76	10.0	Nod sideways	1.0
176.88	10.0	Shake head rapidly	1.0
185.46	10.0	Nod up and down	1.0
194.94	10.0	Nod sideways	1.0
20.16	10.0	Nod up and down	1.0
204.54	10.0	Nod sideways	1.0
214.66	10.0	Twist body right	1.0
225.2	10.0	Twist body left	1.0
233.62	10.0	Shake head rapidly	1.0
242.94	10.0	Twist body left	1.0
254.94	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
263.1	10.0	Twist body right	1.0
275.74	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
287.38	10.0	Nod up and down	1.0
29.72	10.0	Rise your eyebrow	1.0
297.84	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
308.72	10.0	Twist body right	1.0
317.92	10.0	Twist body right	1.0
328.2	10.0	Nod sideways	1.0
341.02	10.0	Rise your eyebrow	1.0
351.76	10.0	Twist body left	1.0
362.36	10.0	Nod up and down	1.0
371.52	10.0	Twist body left	1.0
42.34	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
52.48	10.0	Rise your eyebrow	1.0
61.4	10.0	Shake head rapidly	1.0
73.94	10.0	Rise your eyebrow	1.0
86.82	10.0	Rise your eyebrow	1.0
97.02	10.0	Shake head rapidly	1.0
