onset	duration	trial_type	value
105.12	10.0	Nod sideways	1.0
116.96	10.0	Twist body right	1.0
126.94	10.0	Twist body left	1.0
136.32	10.0	Rise your eyebrow	1.0
144.5	10.0	Twist body left	1.0
155.86	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
166.02	10.0	Nod up and down	1.0
176.28	10.0	Nod up and down	1.0
187.32	10.0	Nod sideways	1.0
195.62	10.0	Shake head rapidly	1.0
205.2	10.0	Rise your eyebrow	1.0
21.78	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
217.06	10.0	Twist body right	1.0
228.54	10.0	Twist body left	1.0
237.18	10.0	Twist body right	1.0
245.82	10.0	Nod up and down	1.0
254.28	10.0	Rise your eyebrow	1.0
262.32	10.0	Twist body right	1.0
272.44	10.0	Nod up and down	1.0
283.72	10.0	Rise your eyebrow	1.0
295.34	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
305.98	10.0	Nod sideways	1.0
31.94	10.0	Nod sideways	1.0
314.54	10.0	Twist body left	1.0
325.68	10.0	Shake head rapidly	1.0
334.32	10.0	Nod up and down	1.0
343.0	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
351.48	10.0	Rise your eyebrow	1.0
360.2	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
43.22	10.0	Shake head rapidly	1.0
51.76	10.0	Twist body left	1.0
64.42	10.0	Shake head rapidly	1.0
73.36	10.0	Shake head rapidly	1.0
82.7	10.0	Twist body right	1.0
94.68	10.0	Nod sideways	1.0
