onset	duration	trial_type	value
110.08	10.0	Twist body left	1.0
122.52	10.0	Rise your eyebrow	1.0
135.32	10.0	Nod sideways	1.0
146.06	10.0	Twist body right	1.0
154.76	10.0	Twist body left	1.0
163.5	10.0	Nod up and down	1.0
172.78	10.0	Twist body left	1.0
185.0	10.0	Shake head rapidly	1.0
194.26	10.0	Shake head rapidly	1.0
206.34	10.0	Shake head rapidly	1.0
215.56	10.0	Rise your eyebrow	1.0
228.2	10.0	Nod up and down	1.0
237.94	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
24.48	10.0	Nod sideways	1.0
246.94	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
256.18	10.0	Rise your eyebrow	1.0
267.26	10.0	Twist body right	1.0
277.64	10.0	Nod sideways	1.0
287.4	10.0	Shake head rapidly	1.0
299.54	10.0	Nod up and down	1.0
310.48	10.0	Shake head rapidly	1.0
321.22	10.0	Nod up and down	1.0
333.8	10.0	Twist body left	1.0
343.24	10.0	Twist body left	1.0
355.02	10.0	Twist body right	1.0
366.8	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
37.28	10.0	Twist body right	1.0
376.7	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
387.54	10.0	Twist body right	1.0
46.98	10.0	Read loudly: THERE IS ALWAYS HOPE.	1.0
57.9	10.0	Nod sideways	1.0
67.02	10.0	Nod sideways	1.0
78.78	10.0	Rise your eyebrow	1.0
88.04	10.0	Rise your eyebrow	1.0
98.58	10.0	Nod up and down	1.0
